,Pt1-OnTx,Pt1-baseline,Pt2-OnTx,Pt2-baseline,Pt3-OnTx,Pt3-baseline,Pt4-OnTx,Pt4-baseline,Pt5-OnTx,Pt5-baseline
A1BG,8.411245,6.88773,12.14435,32.1776,5.835355,4.306105,6.53026,6.42002,8.30743,12.2749
A1BG-AS1,1.373575,0.349027,0.9777765,0.7548175,1.458905,1.896455,4.81383,0.8739055,0.397611,0.841965
A1CF,0.00191447,0,0.002020765,0.001737545,0.0014145,0,0,0.002401945,0,0.0015777
A2M,106.6405,41.5823,306.4995,189.7325,499.497,497.008,531.984,407.3005,409.3965,240.7885
A2M-AS1,0.05777105,0.0409707,1.98147,1.831725,1.936515,1.475915,1.874585,1.26284,1.439495,1.13383
A2ML1,0,0.00386163,0.00924475,0.00557915,0.02567975,0.0305119,0.00740105,0.00726874,0.05747745,0.011383805
A2MP1,0.0117314,0,0.1302355,0.0174091,0,0.0556217,0.01848235,0.0125307,0.14829785,0.0883636
A3GALT2,0,0,0,0,0.017567,0.17638585,0.05986345,0.266325,0,0
A4GALT,0.7878425,0.626655,4.9276,1.81209,41.98685,25.95475,2.19474,6.969575,15.61375,5.555175
A4GNT,0.0163845,0,0.0746766,0.088079,0.01378595,0.02480035,0.2496445,0.203963,0,0.0424443
AA06,0,0,0,0,0,0,0,0,0,0
AAAS,27.37235,24.5094,33.61155,21.75615,18.0775,19.8597,15.30115,15.56335,24.85635,17.61315
AACS,6.64713,9.08217,3.22336,4.20377,11.0967,9.031765,21.0058,12.0712,10.21437,8.29545
AACSP1,1.40167,0.287504,3.508375,3.97877,0,0,0.0099602,0.0196238,0.0083277,0
AADAC,0,0,0.0251649,0.0231732,0.0079069,0.0110397,0.02917645,0.207997,0.0669562,0
AADACL2,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0.03214765,0
AADACL3,0,0,0.265626,0,0,0,0,0,0,0
AADACL4,0,0,0.01352465,0,0,0,0.0161111,0.01537795,0,0
AADACP1,0.5497285,0.3719175,0.2743975,0.5446455,0.142143,0.03395765,0.0215299,0.07481535,0,0
AADAT,5.7979,4.155865,0.990447,1.09597,6.451285,9.28553,7.184405,6.061165,3.487515,4.45842
AAED1,7.54979,10.54595,8.711875,13.85065,14.52435,12.29045,10.04243,13.3626,10.85335,13.63985
AAGAB,25.71735,28.6419,18.21505,13.2073,9.74053,11.9819,17.4719,13.43935,13.4443,7.95904
AAK1,2.06651,1.544565,1.597345,0.7925565,1.76889,2.28712,3.494345,4.23266,2.448315,2.53614
AAMDC,24.2569,35.2364,30.7567,30.92045,26.0295,11.36335,14.27465,9.642815,38.0173,41.2414
AAMP,36.04225,52.10065,63.57715,68.8166,81.7024,73.96215,52.56285,55.8816,68.1443,54.5129
AANAT,0,0,0.02527955,0.149599,0.06786755,0.0790486,0.08395725,0.07022825,0.04636485,0.04738015
AAR2,24.918,28.5212,28.1786,30.4185,23.838,17.798,17.7395,16.00935,20.74975,14.46645
AARD,0.0080983,0.00863605,1.64261,2.079915,6.777555,6.58973,1.518235,4.44654,0.9278635,1.10224
AARS,130.65,124.5665,44.92455,29.46975,64.5811,52.6477,67.0643,53.6405,43.77815,28.11465
AARS2,9.846535,22.74465,10.09092,13.8711,9.37548,4.331565,5.00168,4.173135,8.177265,7.93187
AARSD1,15.07385,13.6869,20.2058,20.9392,28.7344,17.45495,15.2891,11.79675,19.4639,14.47045
AASDH,5.23793,5.219535,3.094095,2.75756,2.403015,2.79664,3.52858,3.34716,1.54572,1.77538
AASDHPPT,25.53785,18.816,15.5521,21.52795,35.9642,42.30715,28.89875,25.36575,14.1804,18.36145
AASS,4.73028,3.326445,8.658945,6.29661,3.024825,3.66579,11.80205,2.22148,2.674065,5.891125
AATF,11.03915,13.2925,39.1663,26.27855,40.50365,28.3544,18.66865,16.73175,33.83785,31.77025
AATK,0.2360885,0.10493215,3.47689,2.8799,7.05787,6.505275,34.80045,19.5062,1.690725,2.76564
AATK-AS1,0,0,0,0.0210203,0.00731195,0,0.06844605,0.05510315,0,0
ABAT,1.66081,2.554225,0.7553,0.3077135,3.37079,1.74464,0.1693415,0.3838595,0.638503,0.963374
ABCA1,0.316495,0.3134885,5.68568,3.25429,7.167965,9.88487,4.26645,4.699975,2.28405,4.959685
ABCA10,0.171372,0.0312271,0.1813835,0.168759,0.135025,0.246159,0.2306815,0.2956485,0.046836,0.301079
ABCA11P,2.19483,2.5646,2.69858,2.668265,1.910395,1.729365,0.7887935,1.155165,0.9319845,1.63708
ABCA12,0.0066333,0.0153184,0.006454545,0.01334755,0.01790215,0.006909605,0.002507395,0.00182982,0.0432372,0.03296235
ABCA13,0.09152025,0.1809565,0.1046228,0.10033315,2.63141,3.206435,0.5215465,0.470623,0.029759,0.3560755
ABCA17P,0.13655,0.11119545,0.6116905,0.852264,0.333367,0.1810975,0.0158203,0.02478389,0.0408428,0.144163
ABCA2,5.71728,3.906025,6.2426,5.326255,23.76685,26.33785,7.95067,9.24741,8.83625,11.53445
ABCA3,3.228555,6.481735,9.830885,10.7384,10.84295,7.02944,0.571889,0.6041405,1.019005,1.614815
ABCA4,0.001582675,0.01545255,1.10352,0.4603085,0.03338765,0.03754115,0.00793537,0.0212586,0.07150125,0.04525765
ABCA5,2.556455,1.705005,2.27231,1.911315,3.27751,3.92854,1.29208,1.247185,0.7364675,1.630715
ABCA6,0.147813,0.0348114,0.5384645,0.159487,8.272955,19.89325,1.982805,3.438355,0.467384,0.129966
ABCA7,6.150965,2.68929,3.786115,3.75524,1.37118,1.44071,2.768335,3.150305,2.277775,3.885145
ABCA8,0.06779365,0.1144435,0.803778,0.18897,0.09090225,0.3353825,1.66757,1.48927,0.4160285,0.04155885
ABCA9,0.13688,0.0935489,0.4326815,0.195528,0.8038075,1.247165,0.661047,1.423145,0.279706,0.2712215
ABCB1,0.6838,0.381379,1.467015,0.56252,0.341334,0.303307,1.077729,14.01905,2.272655,0.6911105
ABCB10,16.1807,17.71695,5.66681,12.20105,13.74505,12.36235,9.786245,5.261905,4.159645,4.97956
ABCB11,0,0,0,0,0,0.008107755,0,0.006995235,0.003367635,0
ABCB4,0.0616729,0.0587196,7.105515,3.17201,3.081845,2.727345,8.53603,12.88525,1.96889,1.286385
ABCB5,110.641,77.78595,39.57745,67.90795,0.2056485,0.2394345,0.038683,0.2508365,6.657185,28.88845
ABCB6,6.940315,5.73986,28.2341,31.21195,18.9736,18.5757,5.30937,7.59112,18.5784,23.2766
ABCB7,8.115115,11.7401,4.13591,6.504605,6.072105,7.237685,3.60967,3.62966,5.850875,5.74972
ABCB8,3.704665,3.03634,19.3598,27.56575,6.77003,6.14694,14.6588,24.7932,16.50025,20.3946
ABCB9,3.57608,3.78995,1.306825,1.47172,2.91454,3.56888,9.27764,8.595625,4.38223,3.5436
ABCC1,6.96863,8.61612,5.2424,4.85512,11.17765,8.97223,1.058675,3.37754,8.95158,8.868735
ABCC10,12.12105,11.5337,5.859915,6.48453,3.473785,2.540175,4.24068,5.42066,6.12032,5.80678
ABCC11,0.08495395,0.184069,0.2289755,0.263956,0.3436385,0.2045385,0.01780742,0.0043256,0.0193702,0.0390199
ABCC12,0,0,0.006884805,0.004196975,0.002086445,0.01961665,0,0,0.00327658,0.00357149
ABCC13,0,0,0,0,0,0,0,0,0.0061725,0.0644059
ABCC2,14.4006,11.82025,5.083305,6.190695,0.0512768,0.07187045,1.30166,0.198907,4.27396,0.891946
ABCC3,0.3300965,0.1883575,0.8635355,0.704162,0.6383905,2.256355,2.929175,9.62865,2.46916,2.737455
ABCC4,5.687075,5.72822,2.126495,2.02195,7.652455,8.61745,4.51419,3.023915,3.061545,2.68358
ABCC5,17.6058,11.5542,23.3699,26.7503,12.96345,11.7843,9.89746,15.92415,11.37335,15.03545
ABCC5-AS1,0,0,0,0.0945135,0,0,0,0,0,0
ABCC6,0.0206583,0.02289565,0.1566159,0.06919825,0.1852335,0.06544365,0.0400957,0.1536295,0.4119495,0.7694045
ABCC6P1,0.005449,0,0.01369945,0,0.008892375,0.01091335,0,0.01775795,0.0128139,0.06308145
ABCC6P2,0,0.023498,0.0939975,0.0419661,0.3823705,0.08993835,0.110267,0.1919105,0.2585215,0.7903565
ABCC8,0.3797695,0.7091125,0.00763025,0,2.316555,2.54465,0,0.002981975,0.00378413,0.0497156
ABCC9,2.715105,1.25624,2.972215,1.336655,1.136545,2.39297,2.09516,3.621825,3.668645,2.33902
ABCD1,27.61085,16.2512,13.17755,9.08509,1.595185,1.729625,11.46555,10.7549,22.01385,26.6386
ABCD2,0.2759985,0.01962275,0.1460205,0.07509955,0.01388359,0.01009119,0.00826965,0.04248735,0.0219943,0.1101885
ABCD3,29.4356,31.3004,19.105,20.5536,8.99779,12.36375,20.0631,15.56615,10.002875,12.60795
ABCD4,17.52935,11.6875,10.28285,8.209125,5.40667,6.49764,7.972335,9.63106,8.97767,6.7909
ABCE1,38.058,36.45895,22.00375,23.15225,26.79505,32.687,35.0985,25.88435,19.00215,23.6171
ABCF1,6.307585,8.85521,2.9247,3.082905,2.86378,2.25424,3.257155,3.165095,4.643235,3.90528
ABCF2,13.8299,14.4973,36.09705,37.98,14.5698,16.279,46.08265,49.18915,28.29915,26.58325
ABCF3,16.8267,15.80695,34.39835,35.13005,22.3108,17.90005,19.4145,19.1991,27.21715,22.7322
ABCG1,0.6083885,0.6453945,12.32085,5.587715,1.37573,2.93702,1.07608,3.57704,5.61473,6.36591
ABCG2,0.06144785,0.3618025,2.708425,2.930675,0.6471665,0.3736715,0.2066495,0.4374575,1.192445,0.8560565
ABCG4,0.0320396,0.059775,0.0332809,0.03974745,0.04078715,0.11895055,0.06709355,0.1256705,0.25596,0.2353805
ABCG5,0.05954725,0.0862406,0.0080792,0.1555505,0.4330155,0.1746895,0.07522175,0.10572605,0.873986,0.3117475
ABCG8,0,0,0.01506445,0,0.0312277,0.024465,0,0,0,0.0088391
ABHD1,0,0.02113705,0.0723998,0.0789598,0.344079,0.1788195,0.04837445,0.06900745,0.0803212,0.1662129
ABHD10,16.3467,15.19475,13.9225,15.89505,15.3149,17.90565,6.01488,6.72432,9.84219,10.55785
ABHD11,4.72848,4.10567,14.41765,18.16785,20.1509,13.87845,14.8354,14.8521,23.06825,28.00165
ABHD12,63.83495,72.66085,117.582,97.9408,77.9005,50.13105,84.4293,71.97555,36.86095,45.0588
ABHD12B,0,0,0.0419267,0.01378865,1.741535,0.4662105,0.1850625,0.1772055,0.01215725,0
ABHD13,14.8752,11.76565,2.96278,3.370845,4.36313,5.193035,6.391415,5.732785,3.063345,2.61778
ABHD14A,11.32905,9.425475,25.26225,16.98455,19.4959,14.07195,12.21195,15.01065,12.7421,10.94288
ABHD14A-ACY1,3.45E-05,0.115320214,2.21E-05,0.000334757,0.228630708,5.58E-05,0.137411713,0.888141,0.000106552,3.21E-05
ABHD14B,34.075,31.6223,23.6031,20.20655,30.2733,18.5726,15.15455,15.8132,20.32155,16.5475
ABHD15,5.843335,6.003155,9.994335,6.10274,6.852295,4.578185,7.95253,6.51823,7.406345,6.23973
ABHD16A,6.34294,6.673795,11.2425,11.82795,4.533725,2.88756,12.96945,13.5639,7.203135,7.51812
ABHD16B,1.959625,1.387235,4.593385,5.8866,3.526775,3.5937,5.15234,4.65399,4.55954,8.2077
ABHD17A,57.4938,49.6634,93.59905,100.9535,78.01055,46.5317,44.9588,46.8329,57.6063,43.7385
ABHD17B,6.50952,8.08946,5.586175,5.21033,10.81705,9.09046,5.75764,4.779975,6.794035,6.7148
ABHD17C,52.2553,17.9461,6.9732,4.85031,13.66825,16.768,18.568,16.92375,19.58015,6.606895
ABHD2,21.26675,17.46115,40.04175,10.1618,10.04965,11.70775,49.1969,54.60775,12.87865,7.73889
ABHD3,7.90392,6.69607,7.804455,8.236385,15.4978,10.47315,20.3379,16.72745,8.86078,11.82275
ABHD4,14.4394,14.0629,17.46135,11.79925,11.1681,9.92898,12.94235,10.869,13.7003,7.390435
ABHD5,4.72698,4.479435,2.863475,2.41459,3.97957,4.050995,3.390145,3.722105,3.71554,3.63399
ABHD6,39.23855,28.09385,10.86035,11.47765,6.399965,5.569575,14.0774,13.43205,5.85626,6.537825
ABHD8,10.359665,9.086835,10.395025,9.91327,5.39756,4.53747,6.457135,9.545755,8.06568,8.906925
ABI1,23.45815,23.9244,20.20545,18.9546,13.05455,14.8503,24.19725,24.0752,12.8329,16.4545
ABI2,9.040095,11.0076,7.775985,5.581955,16.6489,35.59345,24.8018,23.9702,6.63561,5.043535
ABI3,1.283215,1.087365,12.448,7.60107,1.465225,1.337455,1.433085,5.474215,17.6906,14.043
